sample_id,Sunitinib,Everolimus,Temozolomide,Cisplatin,Etoposide,5-FU,Ribociclib,molecular_subtype
GSE151904_GSM4593222,3.873813438953287,7.866889572655396,8.20203983650417,-7.3146840902126105,14.034793177595533,-7.215764488635068,5.719575548447681,C2
GSE151904_GSM4593223,5.200499772783097,8.26948054094122,8.309934699114605,-7.050340658518522,13.426534785908384,-8.09207792331514,7.150991709719012,C2
GSE151904_GSM4593224,4.405939591046887,7.887983624202697,8.15669519212831,-7.268943578151395,12.760161792647834,-7.243311683382633,5.397319491709482,C2
GSE151904_GSM4593225,5.707230297899338,7.920580366788738,8.355159970562696,-8.105322517821111,13.57894267007121,-7.496588671792541,6.110932205427277,C2
GSE151904_GSM4593226,3.3958304300696245,7.647369448758489,7.774551325095204,-7.707104834915132,13.949019186782666,-8.927940094600318,5.737795710219656,C2
GSE151904_GSM4593227,2.547815140865163,7.943369097863689,8.20699255172636,-7.110372947004123,14.034793177595533,-7.3305915648241164,6.800421408688717,C2
GSE151904_GSM4593228,3.0999744800493025,10.150978139237626,9.377252860230627,-7.106731908945729,13.81897634230038,-7.789263995703998,5.309623449330292,C2
GSE151904_GSM4593229,4.873450404078725,8.061699149593982,8.25376901211523,-7.897628084940587,12.96662347172242,-7.5986903519420554,7.719987659848975,C2
GSE151904_GSM4593230,3.984520768517947,8.079056913286918,8.60993578210424,-8.312937923223025,13.239615366490519,-7.6315628713787635,4.845894740359463,C2
GSE151904_GSM4593231,1.9577170440221048,8.364699155621704,8.497568043484955,-8.38797076686758,13.426534785908384,-7.696192510658107,5.2050804738624,C2
GSE151904_GSM4593232,3.7351452400451164,8.145465657298796,8.49325160383535,-7.113717504379503,13.33415940799684,-7.595641613037837,6.756050357631434,C2
GSE151904_GSM4593233,3.613474679531748,8.132075442676658,8.393508025732636,-7.168876911307958,13.44602352408218,-7.817514677986086,6.077623903996315,C2
GSE151904_GSM4593234,4.168381751914171,8.216388415392606,8.69274110591059,-7.206164092635264,13.087660910703816,-8.017083106242715,5.8483426896426405,C2
GSE151904_GSM4593235,2.6121456578712303,7.753632840226826,8.192664449094494,-8.249925086361573,12.772117847667674,-7.697315301773468,6.997193797584581,C2
GSE151904_GSM4593236,5.070738192635105,8.092643466477398,8.033609947950126,-7.716341294200682,12.489271933244241,-7.900176721192924,7.279503521209801,C2
GSE151904_GSM4593237,3.7567069843579572,8.073633261769267,8.174796085894597,-8.695130308278971,15.096390790812144,-7.580391523314024,5.228363959105037,C2
GSE151904_GSM4593238,4.521984734434035,8.618883255097119,8.415545427136308,-7.121622588223544,13.991720736701684,-7.898551454203549,5.833818500355045,C2
GSE151904_GSM4593239,3.726746607646884,7.7114135952569445,7.975140852398835,-7.267081733322864,12.829564427379804,-7.778225772046284,6.974420371221133,C2
GSE151904_GSM4593240,3.2937206970881263,9.792107061594976,9.951547212341625,-7.494322678891806,13.134550099400334,-8.225646665954367,6.714479894059679,C2
GSE151904_GSM4593241,6.6057308452029515,9.260085380071384,10.693996248688723,-7.983594311916235,13.386149592354737,-7.590943633666985,6.669231558698601,C2
GSE151904_GSM4593242,3.7610624720716554,8.259141394978876,8.386225990159378,-8.754383293671037,13.779959428061213,-7.307229566429074,7.007873057447675,C2
GSE151904_GSM4593243,6.559674284748343,7.742252557938265,7.731486371161652,-8.460160690869065,13.535570181797766,-7.360329821691594,6.828739623508552,C2
