sample_id,CD8_T_cells,T_helper_cells,Tregs,B_cells,Macrophages,NK_cells,Dendritic_cells,Neutrophils,Monocytes,Immune_Checkpoint,molecular_subtype
GSE208446_GSM6346519,-0.15826582277145895,-0.0663844081007695,-0.04596954346981937,-0.1193066783302345,-0.036750918937861386,-0.04682068125941135,-0.428195726809032,-0.2382538100383419,-0.16574005339256404,-0.09154263227443762,C3
GSE208446_GSM6346520,-0.17085260060911378,-0.04460408177586164,-0.1282028096261803,-0.15628841828363954,-0.06596357075674104,-0.10160041687968631,-0.42628771465854937,-0.24276885838195664,-0.24520528931089586,-0.09892701749622713,C3
GSE208446_GSM6346521,-0.15752510498976532,-0.05437607140661258,-0.05396676081282462,-0.23699740277455178,-0.08339411589706458,-0.038361061411047066,-0.35005033705043104,-0.2290978530070132,-0.1990133501567508,-0.09065342474509366,C3
GSE208446_GSM6346522,-0.2195997598793221,-0.01983853223364128,-0.04443670210023733,-0.06318107936163889,-0.037495591033703826,-0.09737341138427029,-0.43112974549326477,-0.21914281124786267,-0.1612828236609431,-0.1412017124486735,C3
GSE208446_GSM6346523,-0.2661253615849243,-0.1624662655029145,-0.04130878079897729,-0.1875924638914437,-0.025369102929745892,-0.055956675676254244,-0.42662971683646606,-0.21943809937941922,-0.11624819517128725,-0.0023414161340671496,C3
GSE208446_GSM6346524,-0.30542351329388767,-0.09150316605958009,-0.07333082865680804,-0.2740025832945515,-0.019847431656505616,-0.041790345611485286,-0.4285467290442623,-0.21964909205313157,-0.1201156680952848,-0.09185997326709454,C3
GSE208446_GSM6346525,-0.30255478024438104,-0.1391813189727688,-0.09804408228001953,-0.19853977651889032,-0.032104763024513455,-0.048156528285169135,-0.427412721822749,-0.3774836100983621,-0.1062723506316279,-0.09339043557002508,C3
GSE208446_GSM6346526,-0.3069432159330043,-0.13316151535369736,-0.17677171758770366,-0.1734413882049474,-0.037955015838303005,-0.06158180331991697,-0.4267827178107972,-0.2195689666334617,-0.12599000438544325,-0.0858835150105792,C3
GSE213504_GSM6588247,-0.11933999715863697,0.14034178835651628,-0.0823318717079615,-0.1780064134004531,0.09124695838365211,0.08295485759681867,-0.1606855227958088,-0.32594367032495103,-0.08553517468577262,-0.0580927157579211,C3
GSE213504_GSM6588248,-0.1261324243558316,0.06600848374377886,-0.06392832692995776,-0.17456687971102874,0.08710933523302693,-0.012465010721260265,-0.16312402459928402,-0.3254227839677858,-0.08620209689157061,-0.11593054650893198,C3
GSE213504_GSM6588249,-0.1914032052285043,0.07020709240234844,-0.17991277921909507,-0.23654256696515147,0.09966209944252061,0.03932872953978436,-0.157174442766246,-0.32573559289716125,-0.08550791770967925,-0.08819958075107329,C3
GSE213504_GSM6588250,-0.24234916649868518,-0.023083066357602038,-0.04681669336916886,-0.20094540583867726,0.007368259585458506,0.05534171241528324,-0.10994397225650869,-0.32438799423167136,-0.11616549762821017,-0.04733221448814413,C3
GSE213504_GSM6588251,-0.35283166042919983,-0.004700432642764813,-0.05642282765439951,-0.1624362632246976,0.03649574989502373,0.028060332308814242,-0.07567312637408509,-0.32438864736204004,-0.14714569909867417,-0.077423741179045,C3
GSE213504_GSM6588252,-0.2083078830744366,-0.0021666233792706747,-0.0859732620471276,-0.2257239232850447,0.01877959390498064,0.052148683963178726,-0.17608965977109925,-0.18641866381574948,-0.13438876074071404,-0.10031067600740057,C3
GSE213504_GSM6588253,-0.21099785300519658,0.04202924279475042,-0.1284902843421988,-0.2765678646323404,0.04926922956239112,0.04033118720144247,-0.13123020389382486,-0.13444145585286493,-0.04786042978826694,-0.03628756625704648,C3
GSE213504_GSM6588254,-0.17811481636910242,0.02296608147193158,-0.15713235671207568,-0.22715899109883436,0.06430367244951249,0.033294034117819914,-0.12488557262258902,-0.1661374393206372,-0.04004950854886292,-0.08990888235619493,C3
GSE213504_GSM6588255,-0.31948784563158655,0.023886198015079806,-0.10516599139502075,-0.28601363648862493,-0.03145642598840746,0.020901739977977205,-0.14659445957684783,-0.3255163320590378,-0.13356364692282632,-0.07642484898972525,C3
GSE213504_GSM6588256,0.13313676999750076,-0.08722874734599619,0.0375581549544399,-0.3001349956052495,0.03791914344796442,0.07790239767730375,-0.17206183229622898,-0.32360968602773843,-0.05814429013104434,0.05169724168862773,C3
GSE213504_GSM6588257,0.12252340442076577,-0.09226340090705856,0.03314770496069764,-0.3696487005777536,0.03814300328995477,0.05146767046445802,-0.2730108014150386,-0.32411909359840285,-0.11338212951594419,0.01960220866654805,C3
GSE213504_GSM6588258,0.11453103830874004,-0.0782787824795237,0.05135171268446527,-0.17972518585071393,0.038485731584917325,0.07459141572040019,-0.22281389498607476,-0.3239459301506676,-0.11883109305277247,0.0382879262834732,C3
GSE213504_GSM6588259,-0.1576344186772447,-0.03760442656077923,-0.13334826387697515,-0.31646772908686893,0.16612847482343074,0.09647209244641082,-0.033326313641441806,-0.22589608135261777,0.040811878042821596,-0.002554177898799844,C3
GSE213504_GSM6588260,-0.24233512768473348,0.12161475298858987,-0.199571518970595,-0.22255851646306685,0.09389243668163531,-0.101057394616141,-0.007348950834290922,-0.32364462931559224,0.07522071436184709,-0.1771863423981827,C3
GSE213504_GSM6588261,-0.26891479391338036,0.06819255029340375,-0.1990555611713373,-0.2051124254008174,0.09386824059377523,-0.11565241809294838,-0.05998908501159093,-0.32028233682514595,0.040614401758954186,-0.174364282139961,C3
GSE213504_GSM6588262,-0.29791418286833443,0.0749478940888401,-0.16476839888508268,-0.23964284898243038,0.09797434310101003,-0.10743584003032619,-0.06307135768081748,-0.3225120843023137,0.06656168003361895,-0.18005415569053274,C3
GSE213504_GSM6588263,-0.2982293914147279,0.024353468831790338,-0.04763284911045002,-0.21275053254856216,0.18780921617492097,-0.010709275325438819,-0.19038911410961423,-0.06867924567596564,0.026968560461632082,-0.05824067244362769,C3
