ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0043410,positive regulation of MAPK cascade,71/1943,472/18986,0.1504237288135593,1.469863569353699,3.4902884666549054,5.939429297331784e-4,0.021857099814180964,0.020054901505150175,7936/222166/2852/338557/57007/10178/8558/100133941/4296/5609/25865/7805/23542/6376/3965/6688/9618/2324/10174/2185/1436/920/6366/972/4055/23162/10268/59/5159/115352/5606/2213/2621/10347/6348/3481/23533/222643/5155/9479/9046/728/8822/3791/348/3486/2321/101/114897/1236/5788/939/1464/9170/3630/3487/116/10912/3123/846/4616/4282/3383/3643/958/4915/5345/6363/2246/7984/3479,71
GO:0007162,negative regulation of cell adhesion,51/1943,314/18986,0.1624203821656051,1.5870887163130099,3.541945033125327,6.013587873932338e-4,0.021897405504803267,0.020091883843264532,349633/2039/207/8764/11170/4855/7805/8379/6376/3965/6688/94/5364/5777/6366/2615/972/3659/10288/4155/10859/3718/135/3133/3566/11326/10077/6494/11314/2302/11006/114897/9370/5788/28984/3123/1493/3559/54900/6693/634/9037/6387/1840/91663/3339/10631/1366/5054/4323/1277,51
GO:0045619,regulation of lymphocyte differentiation,39/1943,223/18986,0.17488789237668162,1.708914835133133,3.5955392665644426,6.036688935578708e-4,0.021897405504803267,0.020091883843264532,7704/3965/6688/9580/9840/5777/972/115352/3659/2621/10288/3122/3561/3718/3575/3566/914/2302/3635/3726/56833/11006/101/5788/939/6604/1960/3111/7535/150372/54440/3123/1493/3559/3662/51412/6363/1840/4323,39
GO:0035771,interleukin-4-mediated signaling pathway,6/1943,12/18986,0.5,4.8857436953165205,4.546257232513088,6.103940174024754e-4,0.021897405504803267,0.020091883843264532,6778/3561/3718/3566/5788/958,6
GO:0045060,negative thymic T cell selection,6/1943,12/18986,0.5,4.8857436953165205,4.546257232513088,6.103940174024754e-4,0.021897405504803267,0.020091883843264532,916/972/1236/5788/7535/6693,6
GO:0009615,response to virus,65/1943,425/18986,0.15294117647058825,1.4944627773909358,3.4809361937374117,6.376977356100376e-4,0.02273392427449784,0.020859428562191494,54920/51251/10542/163702/7297/389856/8517/10868/79798/6352/3965/50506/3669/3665/5371/10417/3687/4283/59/6895/5600/2268/3659/60489/653082/5551/3429/29800/10859/10379/79132/140564/200315/5450/10060/10077/10346/10581/84166/7128/5788/6351/57705/8519/201294/81030/10410/3373/6039/684/1755/2537/3663/6693/83666/4599/958/115362/6363/6387/10964/8673/4939/4600/1191,65
GO:0048247,lymphocyte chemotaxis,13/1943,47/18986,0.2765957446808511,2.7027518314516925,3.9463031310081536,6.490691403197117e-4,0.02299559239989836,0.02109952118777121,80024/6352/6376/2185/6366/692094/2621/6348/101/6351/4739/8740/6387,13
GO:0030224,monocyte differentiation,11/1943,36/18986,0.3055555555555556,2.9857322582489854,4.026577044132299,6.674159637561919e-4,0.02349963368682295,0.02156200241582707,3665/2242/1436/920/972/81501/3635/8111/3123/5153/1435,11
GO:1902107,positive regulation of leukocyte differentiation,35/1943,195/18986,0.1794871794871795,1.753856711139264,3.572727097338253,6.932931217070933e-4,0.024113072964739392,0.02212486136795679,7704/3965/6688/7305/2353/9580/2242/9840/920/972/3059/2621/10288/3122/3561/3575/81501/3566/3635/11006/101/8111/5788/939/4739/6604/1960/7535/54440/3123/3559/51412/6363/1435/4323,35
GO:1903708,positive regulation of hemopoiesis,35/1943,195/18986,0.1794871794871795,1.753856711139264,3.572727097338253,6.932931217070933e-4,0.024113072964739392,0.02212486136795679,7704/3965/6688/7305/2353/9580/2242/9840/920/972/3059/2621/10288/3122/3561/3575/81501/3566/3635/11006/101/8111/5788/939/4739/6604/1960/7535/54440/3123/3559/51412/6363/1435/4323,35
GO:0009306,protein secretion,58/1943,371/18986,0.15633423180592992,1.5276179748159473,3.46532280133778,7.075802253070593e-4,0.024460833970614947,0.02244394819921339,84300/26258/79613/128989/51030/80024/25874/2852/201158/340307/780776/441294/79751/5715/8398/65985/9746/8938/6352/322/10307/90007/63941/415116/3767/51092/6927/79792/9619/5551/2645/135/55107/10411/10312/6833/79651/348/101/57333/8111/3630/3651/116/5799/3123/846/5798/93145/111/43/2696/5341/240/640/3479/114131/3170,58
GO:0070232,regulation of T cell apoptotic process,12/1943,42/18986,0.2857142857142857,2.791853540180869,3.925183736994177,7.55614828614606e-4,0.025964017966371763,0.0238231891431314,25865/6352/3965/155038/1831/3718/3575/6482/6097/101/939/81704,12
