Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ZNF852,0.6766470636383892,5.876239780323703,3.31290492976454,0.0010339431504535709,0.0021008806960177632,-3.2925766789032327
GOLGA3,-0.4447632528006795,8.100579824328216,-3.3127273402309987,0.0010345769000306882,0.002102023541681924,-3.2931463465097233
SLURP1,-0.4791883349392401,0.5916413387386982,-3.3123477945655067,0.0010359325655288024,0.0021046328967234944,-3.294363749040439
CPNE7,-0.8158674415291418,3.46245577859245,-3.3112442717698323,0.0010398835302062187,0.0021125142195431044,-3.29790258936179
FOXQ1,-0.7996498010833555,1.9626555013751548,-3.30962789058765,0.00104569599137829,0.0021241758094000807,-3.303084111979701
TFAP2E,-0.5518478609293134,2.6186299415375136,-3.3091087270382715,0.0010475692891198667,0.0021278345192602167,-3.3047478593437116
BNIP1,-0.6078215715115154,4.077549780311334,-3.3086932501237625,0.001049070701665991,0.0021307048175423014,-3.3060791503193814
MRAP2,-0.7598307832899653,4.345345839999335,-3.308677700121905,0.001049126933667245,0.0021307048175423014,-3.3061289733569197
LRRC55,0.6445727526613055,1.207894968931394,3.3078789865987743,0.0010520190175985589,0.002136431263885315,-3.30868780102933
KDM2A,-0.36235214444039743,8.002639575676783,-3.3076705902062447,0.0010527748242617964,0.002137818886490014,-3.3093553431134346
SPDYE1,0.9652117480402744,4.201483110239687,3.3067647717669755,0.0010560658932308958,0.002144354197833187,-3.312256435133704
KRT18P10,1.1679787048939871,2.1496114166562332,3.3065226189616266,0.0010569473149244397,0.0021459961288765434,-3.3130318599027824
MYO1D,-0.549290758856356,7.801830532330784,-3.3061884869119065,0.0010581646585653896,0.002148319833287394,-3.314101734959011
MYO1A,-0.723204304921977,2.1579836171704163,-3.303860254204875,0.0010666833648449478,0.002165465657553636,-3.3215538315265176
DIO3OS,0.6902319016569025,1.297964624388706,3.3035295190796217,0.0010678986408680503,0.002167783504195482,-3.3226120362756726
TCEB2,0.6186979557894237,5.324028286653285,3.3020798609568702,0.0010732405648412032,0.002178477354178154,-3.327249131264729
DCLK1,-0.8248021819213704,4.9923113937215255,-3.3009500667640297,0.0010774210161936986,0.0021868123220933856,-3.330861747075554
CD59,-0.5957439628934242,7.490693937877138,-3.2996362930924454,0.0010823012579412128,0.0021965663902908505,-3.335061205551642
CNTD1,-0.5242692059398286,3.7876459845337593,-3.2989795202224834,0.0010847486510605132,0.0022013819083028146,-3.337159986785446
KRT8P45,1.0635800444720904,2.3751053070109602,3.2989543573207825,0.0010848425201260368,0.0022014208656274564,-3.3372403895321803
LRRC8E,-0.6938015421884332,2.2264197555099883,-3.298673073617835,0.0010858923502734704,0.0022033995717814147,-3.3381391334151527
C10orf90,-0.7589534350944295,2.049595450652115,-3.297898973806067,0.0010887863861769821,0.002209119852091095,-3.3406121306384264
SV2C,-0.9670502448807292,2.602418525625647,-3.2969076619307067,0.001092502955266236,0.0022165081291173287,-3.3437782603597785
ST13P19,1.1845217367103518,2.5220910580911,3.2967124146303313,0.0010932363535201468,0.0022178434446825934,-3.344401752014239
RBCK1,-0.2880641093640741,7.474195439834905,-3.2964994674342867,0.0010940367586900481,0.0022193145037460475,-3.3450817262990906
TBC1D30,-0.7438734570037662,5.40051590238132,-3.296044497429268,0.0010957486807363411,0.002222634295912211,-3.3465343808399837
RPL7P22,1.030903782477908,1.9097563232487706,3.294720990430543,0.0011007428236649978,0.0022326108830043206,-3.350759088610623
ANXA9,-0.5787028115235899,3.282281600501063,-3.2945304938846798,0.0011014633853258242,0.0022339186889646823,-3.35136703403405
AL135791.1,-1.007845626882014,3.608325802889675,-3.294039747379369,0.0011033216753924965,0.0022375336253866816,-3.3529330380614066
AC004797.1,-1.0117480632891607,2.9571741816980106,-3.2935564745118424,0.0011051545120968423,0.002241096448694938,-3.3544749808414727
ASH1L-IT1,0.8918895493711194,2.2232746973217528,3.2927561005573254,0.0011081961947565662,0.0022471099812654467,-3.3570282108963836
RGP1,0.4128979177669776,6.787504091012018,3.2921186473897577,0.001110624288078461,0.002251878585752483,-3.359061302511183
RBPMS,0.602311552983859,5.754630029837164,3.2915581057017365,0.001112763505120439,0.0022560608551307104,-3.360848789813545
OTUD5,0.2000465932213884,7.035757041773123,3.291465246602027,0.0011131182563464015,0.0022566249013442623,-3.3611448768267707
PTPRT,1.1256857504999274,4.282382625745145,3.2913401302243437,0.0011135964067904467,0.002257439020050138,-3.361543805869518
FAM120AOS,-0.25464394786129585,6.688025858969557,-3.2907753085892186,0.0011157573312060938,0.0022616640457430452,-3.3633445433569866
STX1B,-0.7362360350272388,3.3241474655054875,-3.290334781985613,0.0011174454247932404,0.002264930118138846,-3.3647488094681606
ITPA,-0.43651136197225693,5.719369893244701,-3.2881334404722162,0.001125916556925149,0.002281943215640748,-3.3717633984110673
RAB3IL1,0.7292416450670427,2.5166039980726205,3.287831726603571,0.0011270822404447938,0.002284148726923281,-3.372724470744701
ZNF502,-0.7185987728448837,3.836501564970771,-3.287300143291338,0.001129138762020564,0.0022881591863574548,-3.3744175639104173
